Feature_Name,UMCFS_Importance_Value
tqwt_kurtosisValue_dec_16,112747125982.15646
tqwt_minValue_dec_32,111609278827.73943
ppq5Jitter,111350898264.73888
tqwt_skewnessValue_dec_35,110345737032.4702
tqwt_TKEO_mean_dec_10,109688100771.12971
tqwt_stdValue_dec_1,109630147027.94261
tqwt_entropy_log_dec_24,108968195661.75012
tqwt_minValue_dec_1,108426541594.76973
std_delta_delta_0th,107912899764.8408
tqwt_energy_dec_12,105893350899.72673
det_LT_entropy_log_1_coef,105395857807.81592
tqwt_TKEO_std_dec_12,105295958264.54976
det_TKEO_std_2_coef,104314058742.29018
tqwt_TKEO_std_dec_22,104076575629.91972
mean_MFCC_0th_coef,103921894624.4766
IMF_NSR_SEO,103343175599.0122
Ed2_4_coef,102971067547.14503
tqwt_entropy_log_dec_5,101300780209.49998
std_12th_delta,101133113346.54826
tqwt_kurtosisValue_dec_18,100827761913.83128
std_0th_delta,98848007118.04074
tqwt_energy_dec_8,98449145939.8549
std_1st_delta,97303286084.58594
tqwt_entropy_shannon_dec_19,96565590639.13985
tqwt_maxValue_dec_34,95735445164.23882
mean_MFCC_1st_coef,95320892732.31078
std_9th_delta,94199581265.86964
tqwt_energy_dec_17,93762353521.31328
tqwt_entropy_log_dec_6,93760732272.74828
tqwt_maxValue_dec_4,93447740642.42728
tqwt_energy_dec_22,93178133086.91846
tqwt_kurtosisValue_dec_17,92384284418.40775
tqwt_energy_dec_25,91988661818.61775
tqwt_entropy_log_dec_30,91966945129.89035
std_MFCC_0th_coef,91911384970.02487
tqwt_energy_dec_1,91130517113.94125
tqwt_entropy_log_dec_13,90229753825.70657
std_9th_delta_delta,88889842989.71365
std_5th_delta,86308721529.61276
det_TKEO_std_1_coef,84660289655.39317
tqwt_TKEO_mean_dec_20,84109467210.77905
tqwt_energy_dec_20,83496778801.55846
tqwt_minValue_dec_2,82681168906.7071
locPctJitter,81223332494.6106
tqwt_entropy_log_dec_21,81162131385.55312
std_MFCC_2nd_coef,80331475603.48865
tqwt_TKEO_mean_dec_16,80215798646.45326
tqwt_kurtosisValue_dec_8,80133237171.55171
tqwt_TKEO_std_dec_28,79073642593.75174
tqwt_kurtosisValue_dec_34,78697200627.84868
tqwt_maxValue_dec_1,78264734096.37265
std_7th_delta_delta,76043978769.44617
tqwt_minValue_dec_19,75657647100.11018
std_8th_delta_delta,75173558006.62978
det_LT_entropy_log_8_coef,74819964147.52795
det_LT_entropy_log_3_coef,74677476711.02603
tqwt_TKEO_std_dec_27,72444761491.86646
tqwt_kurtosisValue_dec_12,72075782185.52429
det_LT_entropy_shannon_3_coef,71004898572.55745
tqwt_TKEO_mean_dec_1,70525627506.07095
mean_MFCC_7th_coef,70296919948.60704
tqwt_TKEO_mean_dec_17,69289517402.6698
mean_0th_delta,69283353354.07874
tqwt_energy_dec_23,68485560932.61919
tqwt_entropy_log_dec_11,67786959020.50145
tqwt_TKEO_mean_dec_24,67374960712.53401
tqwt_entropy_log_dec_33,67076794575.32916
std_8th_delta,66684727702.57544
det_LT_TKEO_std_4_coef,65606118411.41001
tqwt_TKEO_mean_dec_7,65493648876.76462
tqwt_stdValue_dec_30,65491195379.19246
tqwt_TKEO_mean_dec_23,65184196616.983154
tqwt_skewnessValue_dec_34,62141124375.5477
tqwt_entropy_log_dec_8,62003262182.61735
tqwt_meanValue_dec_36,58641651794.45755
mean_Log_energy,58161882337.81496
tqwt_kurtosisValue_dec_6,58005473141.149574
std_12th_delta_delta,56993980612.085495
tqwt_skewnessValue_dec_36,56903680785.28509
tqwt_kurtosisValue_dec_28,56792115375.67284
tqwt_meanValue_dec_33,56588758851.633064
tqwt_stdValue_dec_36,56363116179.95276
det_LT_TKEO_mean_5_coef,56161465596.59587
tqwt_TKEO_mean_dec_11,55991476581.59891
minIntensity,55966069833.80041
tqwt_skewnessValue_dec_4,55944656548.217224
tqwt_maxValue_dec_5,55311488289.644295
std_MFCC_5th_coef,54718496288.93005
std_10th_delta,54412191545.3514
tqwt_TKEO_std_dec_29,54115441249.77981
std_6th_delta,53872504703.792816
tqwt_kurtosisValue_dec_9,53099073858.271385
