Feature_Name,FSASL_Importance_Value
tqwt_medianValue_dec_33,3.5910394488166335e-11
tqwt_energy_dec_26,3.586074182032e-11
tqwt_meanValue_dec_30,3.4853329208416295e-11
tqwt_energy_dec_32,3.485006281697066e-11
tqwt_meanValue_dec_34,3.438157833795704e-11
tqwt_skewnessValue_dec_16,3.423849964018989e-11
tqwt_skewnessValue_dec_14,3.366661862613632e-11
tqwt_energy_dec_5,3.291589322993494e-11
tqwt_energy_dec_13,3.243034468004305e-11
tqwt_meanValue_dec_10,3.166612269410406e-11
tqwt_skewnessValue_dec_18,3.0985774854210327e-11
tqwt_medianValue_dec_31,3.089198464299726e-11
Ed2_5_coef,3.043924452130872e-11
det_entropy_shannon_6_coef,2.931682857110867e-11
tqwt_entropy_log_dec_27,2.916679476746681e-11
tqwt_medianValue_dec_2,2.8252781595516842e-11
tqwt_skewnessValue_dec_15,2.8021529863012747e-11
app_TKEO_std_7_coef,2.7702889112298453e-11
tqwt_energy_dec_2,2.7259561441838825e-11
app_det_TKEO_mean_3_coef,2.7224707703710875e-11
mean_0th_delta,2.7055191516241172e-11
tqwt_medianValue_dec_12,2.679226031287669e-11
tqwt_skewnessValue_dec_22,2.6550716449885694e-11
det_entropy_log_8_coef,2.6041811013344995e-11
tqwt_skewnessValue_dec_19,2.5867264192412516e-11
mean_6th_delta,2.5638649530191443e-11
std_delta_log_energy,2.556735367024903e-11
tqwt_stdValue_dec_2,2.548432266467116e-11
mean_MFCC_3rd_coef,2.5326770371512547e-11
numPulses,2.526646841415861e-11
GNE_mean,2.467064655798895e-11
det_LT_entropy_log_8_coef,2.4401045897881998e-11
mean_MFCC_1st_coef,2.4262031084287102e-11
PPE,2.4215400018344923e-11
mean_MFCC_9th_coef,2.3969966682563636e-11
meanPeriodPulses,2.3920273548922954e-11
mean_delta_delta_log_energy,2.373266289713073e-11
numPeriodsPulses,2.3451877525884894e-11
std_MFCC_11th_coef,2.320602407934074e-11
tqwt_entropy_shannon_dec_9,2.317402494457801e-11
std_MFCC_8th_coef,2.2235909217316502e-11
std_0th_delta,2.2232668758372546e-11
tqwt_stdValue_dec_1,2.2030646473563972e-11
f3,2.201415630276827e-11
Ed2_1_coef,2.1835419019425242e-11
tqwt_entropy_log_dec_25,2.182359557767962e-11
det_LT_TKEO_std_6_coef,2.172092003284311e-11
mean_MFCC_4th_coef,2.1663419147748318e-11
tqwt_skewnessValue_dec_12,2.111417854154711e-11
mean_1st_delta_delta,2.080039896118874e-11
tqwt_medianValue_dec_34,2.079253619910411e-11
tqwt_meanValue_dec_35,2.0721780312601868e-11
tqwt_TKEO_std_dec_10,2.0619874054137802e-11
mean_2nd_delta,2.060230293005584e-11
tqwt_meanValue_dec_32,2.0494067862894317e-11
VFER_entropy,2.045186889244698e-11
det_entropy_log_7_coef,2.036960311303276e-11
std_MFCC_7th_coef,2.028158286725528e-11
mean_9th_delta,2.0067391397057646e-11
tqwt_medianValue_dec_5,2.0051922312137014e-11
tqwt_entropy_shannon_dec_34,1.9700952901031318e-11
tqwt_stdValue_dec_33,1.9560490073790285e-11
tqwt_kurtosisValue_dec_14,1.9408369018188447e-11
tqwt_energy_dec_8,1.9368158211190636e-11
tqwt_energy_dec_22,1.9349591627119362e-11
tqwt_maxValue_dec_36,1.9324414908836916e-11
mean_6th_delta_delta,1.9247770347158375e-11
det_LT_entropy_log_7_coef,1.9206941080885267e-11
tqwt_energy_dec_25,1.910026200877584e-11
std_MFCC_0th_coef,1.9070702550017305e-11
mean_MFCC_12th_coef,1.9000435373790693e-11
mean_4th_delta,1.875225626659905e-11
tqwt_stdValue_dec_26,1.8701089164252055e-11
tqwt_stdValue_dec_10,1.8612538398660283e-11
tqwt_TKEO_mean_dec_9,1.8545765876748052e-11
minIntensity,1.849819066876857e-11
tqwt_entropy_shannon_dec_2,1.84933348703902e-11
app_TKEO_std_6_coef,1.8400997320099422e-11
apq11Shimmer,1.8396782442804024e-11
tqwt_TKEO_mean_dec_34,1.8209163029924663e-11
VFER_NSR_SEO,1.815191256165321e-11
tqwt_meanValue_dec_33,1.8129143662446087e-11
det_TKEO_mean_5_coef,1.7804451722366725e-11
GQ_std_cycle_closed,1.7726772556636156e-11
app_TKEO_std_5_coef,1.7707193046450784e-11
det_entropy_shannon_5_coef,1.7616886540623462e-11
std_MFCC_6th_coef,1.7413785426398883e-11
det_LT_TKEO_mean_1_coef,1.7377686984907267e-11
GNE_std,1.7305990967954692e-11
tqwt_kurtosisValue_dec_26,1.702927986149176e-11
VFER_mean,1.702159082406063e-11
apq5Shimmer,1.6921234180959045e-11
tqwt_minValue_dec_33,1.6856715105866618e-11
tqwt_energy_dec_12,1.678985269657691e-11
tqwt_TKEO_mean_dec_35,1.6629137500425964e-11
mean_3rd_delta,1.6622182739570937e-11
app_TKEO_std_4_coef,1.6603035677787426e-11
tqwt_stdValue_dec_3,1.6530772532921084e-11
tqwt_minValue_dec_36,1.6421789690783885e-11
meanNoiseToHarmHarmonicity,1.6232278220067723e-11
tqwt_maxValue_dec_26,1.5929142225952836e-11
