Feature_Name,UFSOL_Importance_Value
tqwt_entropy_shannon_dec_7,0.09845076033004076
tqwt_maxValue_dec_5,0.09840011096032499
tqwt_TKEO_std_dec_2,0.09805811104849596
Ed_6_coef,0.0978977941106062
tqwt_stdValue_dec_32,0.09784927946339372
tqwt_entropy_log_dec_8,0.0978114578168242
tqwt_minValue_dec_3,0.09769064307534783
Ea,0.09736064201289277
tqwt_maxValue_dec_3,0.09714599598106405
tqwt_maxValue_dec_26,0.09686295034465274
app_LT_entropy_log_6_coef,0.09683175545447995
app_entropy_log_4_coef,0.09681791589621734
det_TKEO_std_3_coef,0.09681033720582378
tqwt_minValue_dec_26,0.09680141983566
tqwt_minValue_dec_36,0.09676010394005007
minIntensity,0.09657149213626715
Ed2_2_coef,0.09626484922758108
tqwt_entropy_log_dec_9,0.09610149030706795
tqwt_entropy_log_dec_7,0.09573731623172817
tqwt_stdValue_dec_14,0.09562848660380223
tqwt_minValue_dec_2,0.09554438087406235
det_LT_TKEO_std_4_coef,0.09547842219948156
tqwt_maxValue_dec_14,0.09523757274586021
numPeriodsPulses,0.09498027476235378
numPulses,0.09497401744413518
Ed2_5_coef,0.0949069599657727
tqwt_stdValue_dec_25,0.09482175975969334
tqwt_minValue_dec_14,0.09478282423468469
det_TKEO_std_4_coef,0.09466920259607849
tqwt_stdValue_dec_33,0.09425329836255793
Ed2_3_coef,0.09414278288086207
tqwt_maxValue_dec_6,0.09413226175016232
det_TKEO_mean_6_coef,0.09410963437816212
tqwt_minValue_dec_30,0.09389041024112384
tqwt_maxValue_dec_24,0.09383676999106201
meanIntensity,0.09383263640790902
tqwt_minValue_dec_24,0.09370813558007075
det_entropy_shannon_4_coef,0.09370177018825698
tqwt_energy_dec_8,0.09368657175146408
tqwt_entropy_shannon_dec_14,0.09368301350106259
tqwt_maxValue_dec_30,0.09362563877531063
tqwt_maxValue_dec_2,0.09352317667896991
tqwt_entropy_shannon_dec_35,0.09345679855535416
app_LT_TKEO_mean_3_coef,0.0932128795401344
Ed2_4_coef,0.09321070593779923
det_LT_TKEO_mean_3_coef,0.0931990714453192
tqwt_minValue_dec_6,0.09317890334985236
tqwt_entropy_log_dec_6,0.09309880926838941
tqwt_entropy_log_dec_14,0.09309519619383512
tqwt_entropy_log_dec_10,0.09302861669052663
tqwt_stdValue_dec_6,0.09296077532643092
Ea2,0.09293005746877482
