,score
tqwt_entropy_log_dec_27,0.005763806588961678
app_LT_TKEO_std_7_coef,0.005762589159556249
tqwt_entropy_log_dec_8,0.0057406837435639065
det_LT_entropy_shannon_4_coef,0.0057351570718520446
tqwt_minValue_dec_27,0.0057283010167143876
tqwt_entropy_shannon_dec_22,0.005711335305668554
tqwt_entropy_log_dec_21,0.005707666110658156
tqwt_entropy_log_dec_10,0.005690533844095522
app_LT_entropy_shannon_3_coef,0.005664865058868554
std_9th_delta_delta,0.005613677206143698
app_entropy_log_7_coef,0.005599381704115499
tqwt_minValue_dec_25,0.005597633106823021
meanPeriodPulses,0.005580468990232653
app_entropy_log_6_coef,0.005566292762964557
app_entropy_log_10_coef,0.005565125715759584
app_entropy_log_9_coef,0.005561465511364458
app_entropy_log_8_coef,0.005548220740625994
mean_Log_energy,0.0055450112947487955
app_LT_entropy_log_2_coef,0.005477282233840698
tqwt_entropy_log_dec_7,0.005455125350244876
app_LT_entropy_log_7_coef,0.005448651706473878
tqwt_entropy_log_dec_36,0.005446893523738583
tqwt_maxValue_dec_13,0.0054426240393508525
app_LT_entropy_log_1_coef,0.005429980171906435
app_LT_entropy_log_3_coef,0.005429233866999372
tqwt_maxValue_dec_12,0.00542644615696526
tqwt_TKEO_mean_dec_16,0.005423780054800279
tqwt_energy_dec_17,0.005415400174709468
tqwt_stdValue_dec_18,0.0053813699882301015
std_12th_delta_delta,0.005318796068451174
tqwt_entropy_log_dec_6,0.005307324842852039
tqwt_entropy_log_dec_24,0.005293146540527845
app_LT_entropy_log_4_coef,0.005292413926184467
tqwt_maxValue_dec_18,0.005233357371217041
tqwt_medianValue_dec_29,0.005181513674368391
meanHarmToNoiseHarmonicity,0.005122427380299445
tqwt_entropy_log_dec_5,0.0050792632264564045
tqwt_entropy_log_dec_28,0.005001206754088709
mean_MFCC_0th_coef,0.0049982160348752205
tqwt_skewnessValue_dec_20,0.0049885186830696
tqwt_maxValue_dec_11,0.004987225780279166
app_LT_entropy_log_5_coef,0.004986208041694502
app_LT_entropy_log_6_coef,0.004950941146318425
PPE,0.004924559495535576
tqwt_entropy_shannon_dec_23,0.004898175318665385
tqwt_entropy_log_dec_35,0.004887411864541039
std_12th_delta,0.0048833636295390745
tqwt_TKEO_std_dec_16,0.0048534173802535505
std_8th_delta,0.004784135114871629
tqwt_maxValue_dec_9,0.004779616946278395
tqwt_entropy_shannon_dec_30,0.004736249177077094
tqwt_entropy_shannon_dec_19,0.004701614196363359
app_LT_entropy_shannon_2_coef,0.004667015834341689
mean_delta_delta_log_energy,0.00465719553737395
tqwt_minValue_dec_26,0.004649658870557186
app_entropy_log_1_coef,0.004617897031986333
app_entropy_log_5_coef,0.004614535717957322
tqwt_entropy_shannon_dec_36,0.004584062590088799
app_entropy_log_2_coef,0.004563854895626903
std_11th_delta_delta,0.004561303254023061
app_entropy_log_3_coef,0.004461819856423605
tqwt_entropy_shannon_dec_20,0.004449737622847912
tqwt_skewnessValue_dec_10,0.00444634895277843
std_10th_delta,0.00443975617745338
app_entropy_log_4_coef,0.004380491586332972
app_LT_TKEO_mean_4_coef,0.004377967631402309
tqwt_medianValue_dec_15,0.0043143558460404
locDbShimmer,0.004269631967155817
mean_MFCC_9th_coef,0.004230574310268199
std_3rd_delta_delta,0.004228769373145258
tqwt_entropy_log_dec_4,0.00420318526491119
tqwt_entropy_log_dec_26,0.00418667277571727
app_LT_entropy_shannon_1_coef,0.0041851364068364715
det_LT_entropy_shannon_3_coef,0.004119794388658402
app_LT_TKEO_std_3_coef,0.004051748095051906
tqwt_entropy_log_dec_34,0.004042870415548034
tqwt_stdValue_dec_11,0.004005797648915668
tqwt_entropy_shannon_dec_21,0.003996007949788397
std_9th_delta,0.00393191726282122
VFER_NSR_SEO,0.003911099232567129
tqwt_maxValue_dec_10,0.003908142713633966
tqwt_medianValue_dec_19,0.003887487120029833
mean_delta_delta_0th,0.003880717337264826
app_LT_TKEO_std_2_coef,0.0038490104204765606
std_11th_delta,0.0038419039070758084
tqwt_stdValue_dec_10,0.003839248190779598
tqwt_entropy_log_dec_25,0.0037803904805664996
tqwt_skewnessValue_dec_11,0.0037705353828198025
mean_MFCC_3rd_coef,0.003757289660053344
tqwt_kurtosisValue_dec_36,0.0037543292553403537
tqwt_energy_dec_15,0.0037225977941962108
tqwt_entropy_log_dec_3,0.00365325798594185
mean_MFCC_4th_coef,0.0035972813625771193
std_MFCC_3rd_coef,0.003559410240269742
tqwt_medianValue_dec_8,0.0035446768012134854
