,UMCFS_Importance
Ed_4_coef,652395.0133903642
tqwt_entropy_shannon_dec_29,594805.7344512792
det_LT_TKEO_std_10_coef,508613.0493987158
det_LT_TKEO_mean_10_coef,469501.0682514871
det_TKEO_mean_3_coef,435363.8475171662
tqwt_stdValue_dec_33,314417.2770398257
tqwt_stdValue_dec_31,298096.66185231466
tqwt_minValue_dec_33,293430.9897762524
tqwt_maxValue_dec_30,291529.8575509351
tqwt_stdValue_dec_35,283085.14055498526
tqwt_TKEO_std_dec_2,266548.8696899524
det_TKEO_std_5_coef,217180.85570016387
det_TKEO_std_7_coef,203565.98608491564
tqwt_minValue_dec_29,200754.19256059467
tqwt_TKEO_std_dec_30,196316.36155921768
tqwt_maxValue_dec_33,170155.99014641187
tqwt_energy_dec_35,164643.98767683507
tqwt_stdValue_dec_13,155939.3712026851
tqwt_TKEO_std_dec_29,126975.30885642408
tqwt_TKEO_mean_dec_25,124939.43603125859
tqwt_minValue_dec_20,77899.85756739939
tqwt_TKEO_mean_dec_9,73501.66077619829
tqwt_entropy_shannon_dec_3,54817.43446530457
tqwt_energy_dec_32,53104.32512769726
tqwt_entropy_shannon_dec_8,44455.994963896424
tqwt_stdValue_dec_16,44257.55563967472
app_entropy_shannon_2_coef,42130.01250395518
tqwt_TKEO_std_dec_36,22397.379430263783
tqwt_stdValue_dec_20,7753.625878780847
