,UMCFS_Importance
tqwt_entropy_log_dec_34,14622333276748.158
tqwt_minValue_dec_25,14617623704815.213
tqwt_maxValue_dec_15,13976368780460.652
tqwt_TKEO_mean_dec_15,13895419102364.463
det_LT_TKEO_std_6_coef,13820116411480.143
meanIntensity,13708319856924.41
app_LT_entropy_log_7_coef,13705817567895.354
tqwt_TKEO_std_dec_10,13221177175949.227
tqwt_minValue_dec_22,13164059742185.531
tqwt_maxValue_dec_23,12744631649042.81
tqwt_maxValue_dec_27,12650604419144.645
tqwt_minValue_dec_18,12534057172846.408
tqwt_entropy_log_dec_35,12444477405254.67
tqwt_TKEO_std_dec_1,12283619768745.006
tqwt_entropy_log_dec_23,12209769887275.299
tqwt_kurtosisValue_dec_11,12086793867342.959
tqwt_kurtosisValue_dec_16,11922694718812.426
numPeriodsPulses,11668863957771.047
tqwt_minValue_dec_31,11658802269630.402
tqwt_minValue_dec_28,11607864377497.066
tqwt_skewnessValue_dec_3,11330839806772.102
tqwt_minValue_dec_34,11269434280454.377
tqwt_minValue_dec_13,11145382644846.906
minIntensity,11063505989253.73
tqwt_entropy_log_dec_10,11062616775919.236
tqwt_entropy_log_dec_16,11032403491584.07
tqwt_TKEO_mean_dec_10,10924739818590.98
tqwt_entropy_log_dec_4,10637720270972.22
tqwt_maxValue_dec_14,10598300814304.385
tqwt_entropy_log_dec_22,10550488971267.588
tqwt_minValue_dec_35,10437764388889.85
std_5th_delta_delta,10360462595450.559
tqwt_entropy_log_dec_7,10278900694105.773
tqwt_energy_dec_22,10206993691040.209
tqwt_TKEO_std_dec_20,9917326314535.688
tqwt_entropy_log_dec_21,9870998966896.037
std_1st_delta,9840156286751.082
tqwt_entropy_shannon_dec_20,9780277861550.797
det_LT_entropy_log_7_coef,9766456517322.041
tqwt_minValue_dec_21,9746343584889.197
tqwt_entropy_shannon_dec_25,9643776481971.74
app_entropy_shannon_8_coef,9604200398297.291
std_12th_delta_delta,9597138790878.188
tqwt_TKEO_mean_dec_18,9490712146537.406
tqwt_TKEO_mean_dec_17,9424179366584.473
