,0
tqwt_meanValue_dec_8,9.030953388989839e-66
tqwt_meanValue_dec_9,7.687374760086713e-66
tqwt_meanValue_dec_10,2.668028013256261e-65
tqwt_meanValue_dec_11,5.666398366694169e-65
tqwt_meanValue_dec_12,5.106637289889966e-64
tqwt_meanValue_dec_13,1.943699001382141e-64
tqwt_meanValue_dec_14,6.319847442944147e-63
tqwt_meanValue_dec_15,1.3403358764534833e-62
tqwt_meanValue_dec_16,2.225220833917541e-64
tqwt_meanValue_dec_17,1.0852615142791835e-63
tqwt_meanValue_dec_18,5.093717779618407e-63
tqwt_meanValue_dec_19,1.000000000000001
tqwt_meanValue_dec_20,5.786812439424859e-64
tqwt_meanValue_dec_21,1.4611390776146455e-63
tqwt_meanValue_dec_22,6.595363440756904e-62
tqwt_meanValue_dec_23,4.3867959099791856e-63
tqwt_meanValue_dec_24,1.3626435547340271e-62
tqwt_meanValue_dec_25,3.745994028967746e-63
tqwt_meanValue_dec_26,3.579165262362331e-61
tqwt_meanValue_dec_27,2.0018111158538115e-62
tqwt_meanValue_dec_28,1.3891980636802414e-62
tqwt_meanValue_dec_29,5.503785871056321e-63
tqwt_meanValue_dec_30,2.434442548066827e-63
tqwt_meanValue_dec_31,6.460848372063147e-64
tqwt_meanValue_dec_32,7.383715354538576e-63
tqwt_meanValue_dec_33,2.5197217764499997e-63
tqwt_meanValue_dec_34,4.1287899903805485e-64
tqwt_meanValue_dec_35,1.4914727584918473e-63
tqwt_meanValue_dec_36,4.571048904923603e-34
tqwt_stdValue_dec_1,1.658013585603111e-31
tqwt_stdValue_dec_2,1.0717933167360373e-32
tqwt_stdValue_dec_3,8.644141477589873e-32
tqwt_stdValue_dec_4,1.6131675020942536e-32
tqwt_stdValue_dec_5,2.139015486192752e-33
tqwt_stdValue_dec_6,2.6010924836050655e-33
tqwt_stdValue_dec_7,5.534099858448943e-33
tqwt_stdValue_dec_8,1.5396146705793936e-32
tqwt_stdValue_dec_9,3.809097224761476e-32
tqwt_stdValue_dec_10,5.029461086918047e-32
tqwt_stdValue_dec_11,2.0002371643310606e-31
tqwt_stdValue_dec_12,8.24878297999455e-32
tqwt_stdValue_dec_13,5.412156396539723e-32
tqwt_stdValue_dec_14,4.005276334875226e-34
tqwt_stdValue_dec_15,7.635381182393314e-33
tqwt_stdValue_dec_16,6.152015236864016e-34
tqwt_stdValue_dec_17,5.917339507067189e-32
tqwt_stdValue_dec_18,1.390877888177531e-32
tqwt_stdValue_dec_19,3.748149882155714e-33
tqwt_stdValue_dec_20,4.45952563837305e-32
tqwt_stdValue_dec_21,1.749746890671101e-33
tqwt_stdValue_dec_22,2.0144342105860524e-33
tqwt_stdValue_dec_23,2.8766819715885885e-32
tqwt_stdValue_dec_24,3.20316858204086e-32
tqwt_stdValue_dec_25,1.1406314223635292e-32
tqwt_stdValue_dec_26,1.0826810861206462e-32
tqwt_stdValue_dec_27,4.6227387677408533e-32
tqwt_stdValue_dec_28,2.640646446875058e-33
tqwt_stdValue_dec_29,6.289413971801424e-33
tqwt_stdValue_dec_30,6.21509374568091e-32
tqwt_stdValue_dec_31,2.1525139479539465e-32
tqwt_stdValue_dec_32,4.1189474672969294e-33
tqwt_stdValue_dec_33,1.6047348073453657e-33
tqwt_stdValue_dec_34,2.2572226080196277e-32
tqwt_stdValue_dec_35,4.736895614940272e-33
tqwt_stdValue_dec_36,4.8682955350700496e-32
tqwt_minValue_dec_1,4.077968603650601e-33
tqwt_minValue_dec_2,6.745619020602369e-33
tqwt_minValue_dec_3,4.145137643430868e-33
tqwt_minValue_dec_4,2.1923565323288354e-32
tqwt_minValue_dec_5,4.757072202249052e-32
tqwt_minValue_dec_6,1.5624687769813483e-32
tqwt_minValue_dec_7,1.6136701512444737e-32
tqwt_minValue_dec_8,2.096014873073619e-32
tqwt_minValue_dec_9,1.332756126606331e-32
tqwt_minValue_dec_10,5.898661898822335e-33
tqwt_minValue_dec_11,1.1913668853100653e-32
tqwt_minValue_dec_12,2.63453198888094e-32
tqwt_minValue_dec_13,1.9350734638055664e-33
tqwt_minValue_dec_14,1.3880490433538762e-31
tqwt_minValue_dec_15,9.940281950666072e-33
tqwt_minValue_dec_16,3.985466921056563e-33
tqwt_minValue_dec_17,2.895916225085087e-32
tqwt_minValue_dec_18,1.4089826356012546e-33
tqwt_minValue_dec_19,1.4616502288947365e-32
tqwt_minValue_dec_20,3.264173421454345e-32
tqwt_minValue_dec_21,8.316590125702644e-32
tqwt_minValue_dec_22,3.3602522302488654e-33
tqwt_minValue_dec_23,2.4799200867553703e-33
tqwt_minValue_dec_24,2.9419080087912865e-32
tqwt_minValue_dec_25,3.638943059900207e-32
tqwt_minValue_dec_26,4.1186316457949656e-32
tqwt_minValue_dec_27,1.9538772156656352e-32
tqwt_minValue_dec_28,3.4689730122550413e-31
tqwt_minValue_dec_29,2.0077737690496582e-32
tqwt_minValue_dec_30,3.1869832104523e-32
tqwt_minValue_dec_31,1.3457140255673942e-31
tqwt_minValue_dec_32,7.337595021593438e-32
tqwt_minValue_dec_33,7.812187191525259e-33
tqwt_minValue_dec_34,4.701730773446973e-33
tqwt_minValue_dec_35,7.795850019716329e-32
tqwt_minValue_dec_36,1.5830677289554014e-32
tqwt_maxValue_dec_1,9.229950814575835e-33
tqwt_maxValue_dec_2,8.947346097604058e-33
tqwt_maxValue_dec_3,8.858118544801242e-32
tqwt_maxValue_dec_4,4.536135174494182e-33
tqwt_maxValue_dec_5,3.0792025692742734e-32
tqwt_maxValue_dec_6,1.744405674433256e-33
tqwt_maxValue_dec_7,4.744205762171075e-33
tqwt_maxValue_dec_8,6.084857306597407e-33
tqwt_maxValue_dec_9,1.3807772044824823e-32
tqwt_maxValue_dec_10,1.54295026863379e-32
tqwt_maxValue_dec_11,2.247628915354937e-33
tqwt_maxValue_dec_12,1.9351306716569053e-33
tqwt_maxValue_dec_13,8.686329379914567e-33
tqwt_maxValue_dec_14,1.20900286438066e-32
tqwt_maxValue_dec_15,9.197037436007205e-33
tqwt_maxValue_dec_16,3.606167636728932e-32
tqwt_maxValue_dec_17,1.1778953751054989e-31
tqwt_maxValue_dec_18,3.4541746122987774e-33
tqwt_maxValue_dec_19,9.9727676442859e-34
tqwt_maxValue_dec_20,1.0028178144689317e-33
tqwt_maxValue_dec_21,1.6377063715988284e-31
tqwt_maxValue_dec_22,6.269240946166865e-33
tqwt_maxValue_dec_23,4.515591749483341e-33
tqwt_maxValue_dec_24,1.0228494148005718e-32
tqwt_maxValue_dec_25,1.0655095471970681e-32
tqwt_maxValue_dec_26,7.824799456937696e-32
tqwt_maxValue_dec_27,6.360797774556405e-33
tqwt_maxValue_dec_28,2.4033418096736224e-32
tqwt_maxValue_dec_29,3.46716617782993e-32
tqwt_maxValue_dec_30,1.4231331481469994e-32
tqwt_maxValue_dec_31,9.201836335494544e-33
tqwt_maxValue_dec_32,2.660596899367556e-33
tqwt_maxValue_dec_33,1.3984961144401887e-31
tqwt_maxValue_dec_34,1.0399560540066883e-32
tqwt_maxValue_dec_35,7.006609213621307e-33
tqwt_maxValue_dec_36,3.618373031887499e-32
tqwt_skewnessValue_dec_1,9.025854544420478e-34
tqwt_skewnessValue_dec_2,2.5743642883738395e-32
tqwt_skewnessValue_dec_3,1.224885233742123e-33
tqwt_skewnessValue_dec_4,7.314866397703973e-33
tqwt_skewnessValue_dec_5,4.779082270864646e-33
tqwt_skewnessValue_dec_6,4.534028260098804e-34
tqwt_skewnessValue_dec_7,1.2198508331925562e-32
tqwt_skewnessValue_dec_8,1.868660861797419e-32
tqwt_skewnessValue_dec_9,1.3185959759065885e-31
tqwt_skewnessValue_dec_10,1.0850317780229984e-31
tqwt_skewnessValue_dec_11,9.450921683622056e-32
tqwt_skewnessValue_dec_12,1.9566357514128906e-32
tqwt_skewnessValue_dec_13,7.319271570966736e-33
tqwt_skewnessValue_dec_14,7.186563817905836e-33
tqwt_skewnessValue_dec_15,9.334598124861564e-34
tqwt_skewnessValue_dec_16,1.1572596216847422e-32
tqwt_skewnessValue_dec_17,2.73479899638655e-32
tqwt_skewnessValue_dec_18,1.5451979710932284e-34
tqwt_skewnessValue_dec_19,2.7420685865415705e-34
tqwt_skewnessValue_dec_20,1.1942430675498363e-32
tqwt_skewnessValue_dec_21,7.065457736555714e-33
tqwt_skewnessValue_dec_22,2.742126459861074e-33
tqwt_skewnessValue_dec_23,1.1347920198243232e-32
tqwt_skewnessValue_dec_24,1.2545174004620666e-32
tqwt_skewnessValue_dec_25,1.550362624458385e-32
tqwt_skewnessValue_dec_26,1.1106694272593363e-34
tqwt_skewnessValue_dec_27,1.2156925704858204e-32
tqwt_skewnessValue_dec_28,3.5809587354879195e-33
tqwt_skewnessValue_dec_29,3.384813957926508e-33
tqwt_skewnessValue_dec_30,2.1696680379993803e-33
tqwt_skewnessValue_dec_31,2.7896958170697694e-33
tqwt_skewnessValue_dec_32,5.659383237025297e-33
tqwt_skewnessValue_dec_33,1.0933801676253554e-32
tqwt_skewnessValue_dec_34,3.3279393618130075e-34
tqwt_skewnessValue_dec_35,1.308566974694465e-33
tqwt_skewnessValue_dec_36,1.5586753381608486e-33
tqwt_kurtosisValue_dec_1,2.829961480567952e-34
tqwt_kurtosisValue_dec_2,1.4756017787460054e-32
tqwt_kurtosisValue_dec_3,3.46774616714138e-33
tqwt_kurtosisValue_dec_4,1.9304372470312274e-33
tqwt_kurtosisValue_dec_5,1.807923841367248e-32
tqwt_kurtosisValue_dec_6,6.6776238130351525e-34
tqwt_kurtosisValue_dec_7,1.3229930166386594e-32
tqwt_kurtosisValue_dec_8,1.0028244167518516e-32
tqwt_kurtosisValue_dec_9,5.00143816804199e-34
tqwt_kurtosisValue_dec_10,2.7893401215356587e-33
tqwt_kurtosisValue_dec_11,1.435283289214256e-32
tqwt_kurtosisValue_dec_12,8.601516568866525e-33
tqwt_kurtosisValue_dec_13,6.958962637233944e-33
tqwt_kurtosisValue_dec_14,1.0954560654252373e-33
tqwt_kurtosisValue_dec_15,3.234516134816442e-32
tqwt_kurtosisValue_dec_16,4.8549138619559316e-32
tqwt_kurtosisValue_dec_17,1.5914550179432612e-31
tqwt_kurtosisValue_dec_18,3.1493201974966765e-32
tqwt_kurtosisValue_dec_19,1.6564920789429554e-31
tqwt_kurtosisValue_dec_20,3.6312680361697014e-33
tqwt_kurtosisValue_dec_21,8.241224179192866e-32
tqwt_kurtosisValue_dec_22,1.7343601972201614e-32
tqwt_kurtosisValue_dec_23,1.212514457405625e-33
tqwt_kurtosisValue_dec_24,3.780892256335391e-33
tqwt_kurtosisValue_dec_25,1.4662019064624944e-33
tqwt_kurtosisValue_dec_26,2.4540814831149462e-33
tqwt_kurtosisValue_dec_27,4.981889902391656e-33
tqwt_kurtosisValue_dec_28,1.2452795068905948e-33
tqwt_kurtosisValue_dec_29,5.597761821012489e-33
tqwt_kurtosisValue_dec_30,5.469369262792319e-34
tqwt_kurtosisValue_dec_31,7.746835949186932e-33
tqwt_kurtosisValue_dec_32,7.724885378941987e-33
tqwt_kurtosisValue_dec_33,2.9716544408855405e-34
tqwt_kurtosisValue_dec_34,6.521261032196627e-33
tqwt_kurtosisValue_dec_35,5.49465757649127e-33
tqwt_kurtosisValue_dec_36,6.546688514019269e-34
