,0
Ed_10_coef,1.554149153416121e-31
det_entropy_shannon_1_coef,1.8406893523876863e-32
det_entropy_shannon_2_coef,3.4237831844379796e-32
det_entropy_shannon_3_coef,3.485544661387919e-31
det_entropy_shannon_4_coef,1.602627169309251e-32
det_entropy_shannon_5_coef,1.4306103856204653e-32
det_entropy_shannon_6_coef,8.002927736831469e-32
det_entropy_shannon_7_coef,1.5064835843332506e-31
det_entropy_shannon_8_coef,4.9035532530108786e-32
det_entropy_shannon_9_coef,6.209568001342304e-32
det_entropy_shannon_10_coef,4.7843147653500414e-31
det_entropy_log_1_coef,3.352870382313267e-33
det_entropy_log_2_coef,4.714516910969801e-32
det_entropy_log_3_coef,2.0329334363507955e-31
det_entropy_log_4_coef,3.346726592715932e-32
det_entropy_log_5_coef,8.871287857386669e-32
det_entropy_log_6_coef,4.746107777401001e-32
det_entropy_log_7_coef,1.2250862894314069e-32
det_entropy_log_8_coef,2.4412594406331004e-32
det_entropy_log_9_coef,6.07674819228712e-33
det_entropy_log_10_coef,7.608874478828901e-32
det_TKEO_mean_1_coef,9.461920339588497e-32
det_TKEO_mean_2_coef,1.2905597884971586e-31
det_TKEO_mean_3_coef,3.4660622307715425e-32
det_TKEO_mean_4_coef,1.6561733790551162e-32
det_TKEO_mean_5_coef,4.136758754634392e-34
det_TKEO_mean_6_coef,9.552277835795512e-32
det_TKEO_mean_7_coef,1.986012539164435e-32
det_TKEO_mean_8_coef,5.622212769922917e-32
det_TKEO_mean_9_coef,6.889823350731908e-32
det_TKEO_mean_10_coef,7.205098488777784e-33
det_TKEO_std_1_coef,3.8476574424584156e-32
det_TKEO_std_2_coef,1.4533323888894226e-32
det_TKEO_std_3_coef,7.338439023002672e-32
det_TKEO_std_4_coef,1.4562280178519476e-31
det_TKEO_std_5_coef,1.594783900382733e-32
det_TKEO_std_6_coef,4.962541625781737e-33
det_TKEO_std_7_coef,2.4024546877022194e-31
det_TKEO_std_8_coef,5.809433900883182e-32
det_TKEO_std_9_coef,8.666680272962992e-32
det_TKEO_std_10_coef,2.5117734395307245e-31
app_entropy_shannon_1_coef,3.7692122742571696e-32
app_entropy_shannon_2_coef,1.4401479394409518e-31
app_entropy_shannon_3_coef,3.3037634859701225e-31
app_entropy_shannon_4_coef,3.8863174083916157e-32
app_entropy_shannon_5_coef,2.877677436865509e-32
app_entropy_shannon_6_coef,1.7512938890609714e-32
app_entropy_shannon_7_coef,7.948034242649609e-32
app_entropy_shannon_8_coef,2.603321237346283e-31
app_entropy_shannon_9_coef,1.9294839079422076e-32
app_entropy_shannon_10_coef,9.060527880136689e-33
app_entropy_log_1_coef,3.531012433769963e-31
app_entropy_log_2_coef,1.3453397156368278e-31
app_entropy_log_3_coef,3.0692320780182073e-31
app_entropy_log_4_coef,1.3850291824280009e-31
app_entropy_log_5_coef,2.1530365021199578e-32
app_entropy_log_6_coef,2.9345488007599756e-33
app_entropy_log_7_coef,5.993858300998401e-32
app_entropy_log_8_coef,1.5634888858094814e-31
app_entropy_log_9_coef,1.3287930404872156e-32
app_entropy_log_10_coef,3.7987291798703034e-31
app_det_TKEO_mean_1_coef,4.518850015951477e-32
app_det_TKEO_mean_2_coef,1.691083766650408e-33
app_det_TKEO_mean_3_coef,7.931698714385665e-32
app_det_TKEO_mean_4_coef,2.1086900908868833e-32
app_det_TKEO_mean_5_coef,2.9495348752655435e-31
app_det_TKEO_mean_6_coef,4.771882830766579e-32
app_det_TKEO_mean_7_coef,4.505545205890131e-33
app_det_TKEO_mean_8_coef,3.427635842301763e-31
app_det_TKEO_mean_9_coef,2.955991507560197e-32
app_det_TKEO_mean_10_coef,3.320193801124412e-32
app_TKEO_std_1_coef,1.9864748866095008e-32
app_TKEO_std_2_coef,2.7914079474754415e-31
app_TKEO_std_3_coef,9.168201243673207e-32
app_TKEO_std_4_coef,2.280440848026472e-32
app_TKEO_std_5_coef,5.8886004371636615e-31
app_TKEO_std_6_coef,1.3256044356188217e-31
app_TKEO_std_7_coef,2.3027573817843455e-33
app_TKEO_std_8_coef,3.953766360054797e-31
app_TKEO_std_9_coef,1.4674507935344798e-30
app_TKEO_std_10_coef,2.1535751886669814e-30
Ea2,9.187610060104403e-31
Ed2_1_coef,2.6452261198533932e-31
Ed2_2_coef,1.014027947912225e-30
Ed2_3_coef,5.928346257709158e-32
Ed2_4_coef,5.352603275532831e-32
Ed2_5_coef,1.3659112930081654e-32
Ed2_6_coef,5.670347701770626e-31
Ed2_7_coef,1.4313444070387044e-32
Ed2_8_coef,2.783134613959019e-32
Ed2_9_coef,8.062503910361813e-32
